,Open1,Open2,Open3,Open4,Open5,Low1,Low2,Low3,Low4,Low5,High1,High2,High3,High4,High5,Vol_1,Vol_2,Vol_3,Vol_4,Vol_5,Pos1,Pos2,Pos3,Pos4,Pos5,Neg1,Neg2,Neg3,Neg4,Neg5,Close1,Close2,Close3,Close4,Close5,Close
690,7643.5693359375,7296.16455078125,7398.6337890625,7039.97705078125,7145.1591796875,6936.70654296875,7151.41796875,7029.2890625,6617.1669921875,7098.572265625,7697.3828125,7442.2587890625,7408.5771484375,7319.85693359375,7320.23046875,34242315785,21008924418,30433517289,42685231262,21129505542,0.16606685,0.240600392,0.16632691,0.169422449,0.185554302,0.83393315,0.759399608,0.83367309,0.830577551,0.814445698,7296.57763671875,7397.796875,7047.9169921875,7146.1337890625,7218.37109375,7531.66357421875
691,7296.16455078125,7398.6337890625,7039.97705078125,7145.1591796875,7220.880859375,7151.41796875,7029.2890625,6617.1669921875,7098.572265625,6974.17431640625,7442.2587890625,7408.5771484375,7319.85693359375,7320.23046875,7619.693359375,21008924418,30433517289,42685231262,21129505542,23991412764,0.240600392,0.16632691,0.169422449,0.185554302,0.193849302,0.759399608,0.83367309,0.830577551,0.814445698,0.806150698,7397.796875,7047.9169921875,7146.1337890625,7218.37109375,7531.66357421875,7463.10595703125
692,7398.6337890625,7039.97705078125,7145.1591796875,7220.880859375,7536.8203125,7029.2890625,6617.1669921875,7098.572265625,6974.17431640625,7454.12158203125,7408.5771484375,7319.85693359375,7320.23046875,7619.693359375,7730.07275390625,30433517289,42685231262,21129505542,23991412764,19050116751,0.16632691,0.169422449,0.185554302,0.193849302,0.227610714,0.83367309,0.830577551,0.814445698,0.806150698,0.772389286,7047.9169921875,7146.1337890625,7218.37109375,7531.66357421875,7463.10595703125,7761.24365234375
693,7039.97705078125,7145.1591796875,7220.880859375,7536.8203125,7466.72705078125,6617.1669921875,7098.572265625,6974.17431640625,7454.12158203125,7460.75634765625,7319.85693359375,7320.23046875,7619.693359375,7730.07275390625,7781.1796875,42685231262,21129505542,23991412764,19050116751,19709695456,0.169422449,0.185554302,0.193849302,0.227610714,0.201558447,0.830577551,0.814445698,0.806150698,0.772389286,0.798441553,7146.1337890625,7218.37109375,7531.66357421875,7463.10595703125,7761.24365234375,7569.6298828125
694,7145.1591796875,7220.880859375,7536.8203125,7466.72705078125,7764.05712890625,7098.572265625,6974.17431640625,7454.12158203125,7460.75634765625,7515.849609375,7320.23046875,7619.693359375,7730.07275390625,7781.1796875,7836.10205078125,21129505542,23991412764,19050116751,19709695456,17158194786,0.185554302,0.193849302,0.227610714,0.201558447,0.180514502,0.814445698,0.806150698,0.772389286,0.798441553,0.819485498,7218.37109375,7531.66357421875,7463.10595703125,7761.24365234375,7569.6298828125,7424.29248046875
695,7220.880859375,7536.8203125,7466.72705078125,7764.05712890625,7571.6162109375,6974.17431640625,7454.12158203125,7460.75634765625,7515.849609375,7291.341796875,7619.693359375,7730.07275390625,7781.1796875,7836.10205078125,7571.6162109375,23991412764,19050116751,19709695456,17158194786,18720708479,0.193849302,0.227610714,0.201558447,0.180514502,0.22341373,0.806150698,0.772389286,0.798441553,0.819485498,0.77658627,7531.66357421875,7463.10595703125,7761.24365234375,7569.6298828125,7424.29248046875,7321.98828125
696,7536.8203125,7466.72705078125,7764.05712890625,7571.6162109375,7424.0361328125,7454.12158203125,7460.75634765625,7515.849609375,7291.341796875,7233.3994140625,7730.07275390625,7781.1796875,7836.10205078125,7571.6162109375,7474.81884765625,19050116751,19709695456,17158194786,18720708479,17082040706,0.227610714,0.201558447,0.180514502,0.22341373,0.168835936,0.772389286,0.798441553,0.819485498,0.77658627,0.831164064,7463.10595703125,7761.24365234375,7569.6298828125,7424.29248046875,7321.98828125,7320.1455078125
697,7466.72705078125,7764.05712890625,7571.6162109375,7424.0361328125,7323.9755859375,7460.75634765625,7515.849609375,7291.341796875,7233.3994140625,7229.35693359375,7781.1796875,7836.10205078125,7571.6162109375,7474.81884765625,7418.85888671875,19709695456,17158194786,18720708479,17082040706,14797485769,0.201558447,0.180514502,0.22341373,0.168835936,0.178849749,0.798441553,0.819485498,0.77658627,0.831164064,0.821150251,7761.24365234375,7569.6298828125,7424.29248046875,7321.98828125,7320.1455078125,7252.03466796875
698,7764.05712890625,7571.6162109375,7424.0361328125,7323.9755859375,7320.125,7515.849609375,7291.341796875,7233.3994140625,7229.35693359375,7170.9228515625,7836.10205078125,7571.6162109375,7474.81884765625,7418.85888671875,7539.78466796875,17158194786,18720708479,17082040706,14797485769,21664240918,0.180514502,0.22341373,0.168835936,0.178849749,0.198723987,0.819485498,0.77658627,0.831164064,0.821150251,0.801276013,7569.6298828125,7424.29248046875,7321.98828125,7320.1455078125,7252.03466796875,7448.3076171875
699,7571.6162109375,7424.0361328125,7323.9755859375,7320.125,7253.24169921875,7291.341796875,7233.3994140625,7229.35693359375,7170.9228515625,7232.6767578125,7571.6162109375,7474.81884765625,7418.85888671875,7539.78466796875,7743.431640625,18720708479,17082040706,14797485769,21664240918,18816085231,0.22341373,0.168835936,0.178849749,0.198723987,0.182994496,0.77658627,0.831164064,0.821150251,0.801276013,0.817005504,7424.29248046875,7321.98828125,7320.1455078125,7252.03466796875,7448.3076171875,7546.99658203125
700,7424.0361328125,7323.9755859375,7320.125,7253.24169921875,7450.5615234375,7233.3994140625,7229.35693359375,7170.9228515625,7232.6767578125,7392.17529296875,7474.81884765625,7418.85888671875,7539.78466796875,7743.431640625,7546.99658203125,17082040706,14797485769,21664240918,18816085231,18104466307,0.168835936,0.178849749,0.198723987,0.182994496,0.154971127,0.831164064,0.821150251,0.801276013,0.817005504,0.845028873,7321.98828125,7320.1455078125,7252.03466796875,7448.3076171875,7546.99658203125,7556.23779296875
701,7323.9755859375,7320.125,7253.24169921875,7450.5615234375,7547.265625,7229.35693359375,7170.9228515625,7232.6767578125,7392.17529296875,7525.71142578125,7418.85888671875,7539.78466796875,7743.431640625,7546.99658203125,7589.95166015625,14797485769,21664240918,18816085231,18104466307,15453520564,0.178849749,0.198723987,0.182994496,0.154971127,0.177867754,0.821150251,0.801276013,0.817005504,0.845028873,0.822132246,7320.1455078125,7252.03466796875,7448.3076171875,7546.99658203125,7556.23779296875,7564.34521484375
702,7320.125,7253.24169921875,7450.5615234375,7547.265625,7551.3388671875,7170.9228515625,7232.6767578125,7392.17529296875,7525.71142578125,7476.09130859375,7539.78466796875,7743.431640625,7546.99658203125,7589.95166015625,7634.6064453125,21664240918,18816085231,18104466307,15453520564,15409908086,0.198723987,0.182994496,0.154971127,0.177867754,0.110387913,0.801276013,0.817005504,0.845028873,0.822132246,0.889612087,7252.03466796875,7448.3076171875,7546.99658203125,7556.23779296875,7564.34521484375,7400.8994140625
703,7253.24169921875,7450.5615234375,7547.265625,7551.3388671875,7561.79541015625,7232.6767578125,7392.17529296875,7525.71142578125,7476.09130859375,7365.9853515625,7743.431640625,7546.99658203125,7589.95166015625,7634.6064453125,7618.091796875,18816085231,18104466307,15453520564,15409908086,17872021272,0.182994496,0.154971127,0.177867754,0.110387913,0.183253105,0.817005504,0.845028873,0.822132246,0.889612087,0.816746895,7448.3076171875,7546.99658203125,7556.23779296875,7564.34521484375,7400.8994140625,7278.11962890625
704,7450.5615234375,7547.265625,7551.3388671875,7561.79541015625,7397.13427734375,7392.17529296875,7525.71142578125,7476.09130859375,7365.9853515625,7246.0439453125,7546.99658203125,7589.95166015625,7634.6064453125,7618.091796875,7424.02294921875,18104466307,15453520564,15409908086,17872021272,18249031195,0.154971127,0.177867754,0.110387913,0.183253105,0.153130965,0.845028873,0.822132246,0.889612087,0.816746895,0.846869035,7546.99658203125,7556.23779296875,7564.34521484375,7400.8994140625,7278.11962890625,7217.42724609375
705,7547.265625,7551.3388671875,7561.79541015625,7397.13427734375,7277.19775390625,7525.71142578125,7476.09130859375,7365.9853515625,7246.0439453125,7195.52734375,7589.95166015625,7634.6064453125,7618.091796875,7424.02294921875,7324.15625,15453520564,15409908086,17872021272,18249031195,16350490689,0.177867754,0.110387913,0.183253105,0.153130965,0.178295679,0.822132246,0.889612087,0.816746895,0.846869035,0.821704321,7556.23779296875,7564.34521484375,7400.8994140625,7278.11962890625,7217.42724609375,7243.13427734375
706,7551.3388671875,7561.79541015625,7397.13427734375,7277.19775390625,7216.73876953125,7476.09130859375,7365.9853515625,7246.0439453125,7195.52734375,7164.7412109375,7634.6064453125,7618.091796875,7424.02294921875,7324.15625,7266.6396484375,15409908086,17872021272,18249031195,16350490689,18927080224,0.110387913,0.183253105,0.153130965,0.178295679,0.207778226,0.889612087,0.816746895,0.846869035,0.821704321,0.792221774,7564.34521484375,7400.8994140625,7278.11962890625,7217.42724609375,7243.13427734375,7269.6845703125
707,7561.79541015625,7397.13427734375,7277.19775390625,7216.73876953125,7244.662109375,7365.9853515625,7246.0439453125,7195.52734375,7164.7412109375,7227.12255859375,7618.091796875,7424.02294921875,7324.15625,7266.6396484375,7293.560546875,17872021272,18249031195,16350490689,18927080224,17125736940,0.183253105,0.153130965,0.178295679,0.207778226,0.184092417,0.816746895,0.846869035,0.821704321,0.792221774,0.815907583,7400.8994140625,7278.11962890625,7217.42724609375,7243.13427734375,7269.6845703125,7124.673828125
708,7397.13427734375,7277.19775390625,7216.73876953125,7244.662109375,7268.90283203125,7246.0439453125,7195.52734375,7164.7412109375,7227.12255859375,7097.208984375,7424.02294921875,7324.15625,7266.6396484375,7293.560546875,7308.83642578125,18249031195,16350490689,18927080224,17125736940,17137029730,0.153130965,0.178295679,0.207778226,0.184092417,0.275320753,0.846869035,0.821704321,0.792221774,0.815907583,0.724679247,7278.11962890625,7217.42724609375,7243.13427734375,7269.6845703125,7124.673828125,7152.3017578125
709,7277.19775390625,7216.73876953125,7244.662109375,7268.90283203125,7124.23974609375,7195.52734375,7164.7412109375,7227.12255859375,7097.208984375,6924.3759765625,7324.15625,7266.6396484375,7293.560546875,7308.83642578125,7181.07568359375,16350490689,18927080224,17125736940,17137029730,16881129804,0.178295679,0.207778226,0.184092417,0.275320753,0.121616863,0.821704321,0.792221774,0.815907583,0.724679247,0.878383137,7217.42724609375,7243.13427734375,7269.6845703125,7124.673828125,7152.3017578125,6932.48046875
710,7216.73876953125,7244.662109375,7268.90283203125,7124.23974609375,7153.6630859375,7164.7412109375,7227.12255859375,7097.208984375,6924.3759765625,6903.6826171875,7266.6396484375,7293.560546875,7308.83642578125,7181.07568359375,7171.1689453125,18927080224,17125736940,17137029730,16881129804,20213265950,0.207778226,0.184092417,0.275320753,0.121616863,0.153880971,0.792221774,0.815907583,0.724679247,0.878383137,0.846119029,7243.13427734375,7269.6845703125,7124.673828125,7152.3017578125,6932.48046875,6640.51513671875
711,7244.662109375,7268.90283203125,7124.23974609375,7153.6630859375,6931.3154296875,7227.12255859375,7097.208984375,6924.3759765625,6903.6826171875,6587.97412109375,7293.560546875,7308.83642578125,7181.07568359375,7171.1689453125,6964.0751953125,17125736940,17137029730,16881129804,20213265950,22363804217,0.184092417,0.275320753,0.121616863,0.153880971,0.170694152,0.815907583,0.724679247,0.878383137,0.846119029,0.829305848,7269.6845703125,7124.673828125,7152.3017578125,6932.48046875,6640.51513671875,7276.802734375
